id,product_name,price,quantity_in_stock,technical,category,release_date,weight,ask?
1,Notebook Dell,853.27,513,Skaboo,Notebooks,3/26/2024,1169.11,FALSE
2,Notebook Lenovo,1281.22,359,Photobug,Notebooks,2/26/2024,763.87,FALSE
3,Notebook Acer,996.25,250,Wordpedia,Notebooks,1/28/2024,1141.1,TRUE
4,Notebook Acer,1082.01,138,Feedbug,Notebooks,1/4/2024,1088.38,FALSE
5,Notebook Dell,1198.5,416,Lajo,Notebooks,3/23/2024,1037.95,TRUE
6,Notebook Dell,1289.24,775,Rhybox,Notebooks,1/11/2024,1122.55,TRUE
7,Notebook Dell,1308.72,682,Voolith,Notebooks,1/5/2024,1059.27,FALSE
8,Notebook Dell,841.95,428,Gabspot,Notebooks,3/14/2024,1008.08,TRUE
9,Notebook Dell,1034.17,366,Jabbercube,Notebooks,1/3/2024,829.74,FALSE
10,Microsoft Surface,1480.25,412,Oyope,Notebooks,3/27/2024,864.6,TRUE
11,Notebook Lenovo,832.84,449,Wikibox,Notebooks,1/4/2024,1188.7,FALSE
12,Notebook Lenovo,1023.75,153,Talane,Notebooks,1/17/2024,751.26,TRUE
13,Notebook HP,1172.96,202,Bluejam,Notebooks,2/2/2024,782.22,FALSE
14,Notebook HP,881.74,15,Linktype,Notebooks,1/2/2024,752.0,FALSE
15,Notebook Lenovo,1417.2,881,Brainsphere,Notebooks,1/31/2024,1091.93,FALSE
16,Notebook HP,1011.95,389,Dazzlesphere,Notebooks,3/27/2024,1170.12,TRUE
17,Notebook HP,1358.38,149,Jaxspan,Notebooks,2/18/2024,723.29,TRUE
18,Microsoft Surface,875.95,947,Zoomcast,Notebooks,3/5/2024,709.31,TRUE
19,Microsoft Surface,1113.88,980,Mymm,Notebooks,1/25/2024,953.4,TRUE
20,Notebook Dell,1264.49,218,Fivechat,Notebooks,2/21/2024,856.0,FALSE
21,Notebook HP,1462.11,363,Skajo,Notebooks,1/1/2024,941.02,FALSE
22,Notebook Lenovo,895.09,732,Oba,Notebooks,2/6/2024,893.05,TRUE
23,Notebook Acer,1188.5,656,Youfeed,Notebooks,2/22/2024,1165.04,FALSE
24,Notebook HP,1130.13,343,Thoughtbridge,Notebooks,2/18/2024,1153.05,TRUE
25,Notebook Acer,1446.7,31,Centimia,Notebooks,2/21/2024,1027.56,FALSE
26,Notebook Dell,1306.73,479,Aimbo,Notebooks,2/7/2024,805.33,TRUE
27,Notebook Dell,1407.27,791,Topiczoom,Notebooks,3/13/2024,973.42,FALSE
28,Notebook Acer,1495.13,851,Thoughtsphere,Notebooks,2/6/2024,746.02,FALSE
29,Notebook Dell,1052.76,655,Realpoint,Notebooks,2/15/2024,853.74,FALSE
30,Notebook Acer,881.05,940,Rhyloo,Notebooks,2/9/2024,988.12,FALSE
31,Notebook Acer,1460.54,125,Mynte,Notebooks,3/28/2024,1118.6,FALSE
32,Notebook HP,1026.98,264,Riffwire,Notebooks,2/1/2024,1015.46,TRUE
33,Notebook Lenovo,1308.82,213,Kimia,Notebooks,3/16/2024,1045.19,FALSE
34,Notebook HP,1344.84,816,Cogibox,Notebooks,1/18/2024,1159.04,TRUE
35,Notebook Lenovo,1250.4,752,Innojam,Notebooks,2/11/2024,1022.28,TRUE
36,Notebook HP,1115.55,551,Quinu,Notebooks,3/25/2024,729.96,FALSE
37,Notebook Dell,1128.39,827,Skinder,Notebooks,2/11/2024,1155.29,FALSE
38,Notebook Acer,1177.38,789,Yozio,Notebooks,3/23/2024,1031.99,FALSE
39,MacBook Pro,1339.9,38,Thoughtsphere,Notebooks,1/8/2024,1120.14,FALSE
40,Notebook Acer,1379.52,166,Linktype,Notebooks,1/18/2024,763.42,TRUE
41,MacBook Pro,1351.76,467,Zoombox,Notebooks,2/12/2024,824.58,FALSE
42,Notebook Lenovo,1462.38,867,Mynte,Notebooks,1/26/2024,936.47,FALSE
43,Notebook HP,1048.19,609,Oyoyo,Notebooks,3/29/2024,984.93,FALSE
44,Microsoft Surface,1452.3,525,Trilia,Notebooks,2/21/2024,774.04,FALSE
45,Notebook Acer,1024.23,430,Wordware,Notebooks,1/21/2024,789.0,TRUE
46,Notebook HP,1006.52,160,Zazio,Notebooks,2/12/2024,850.38,TRUE
47,Notebook Dell,890.68,345,Tagcat,Notebooks,1/4/2024,892.33,FALSE
48,MacBook Pro,1358.55,904,Bubblemix,Notebooks,2/18/2024,943.87,TRUE
49,Notebook HP,1279.36,208,Edgeclub,Notebooks,2/21/2024,1042.35,TRUE
50,Notebook Dell,1131.71,571,Blogpad,Notebooks,1/21/2024,911.93,FALSE
51,Microsoft Surface,817.15,681,Kanoodle,Notebooks,2/4/2024,1071.87,FALSE
52,Notebook Dell,998.54,806,Flashset,Notebooks,3/16/2024,1052.94,TRUE
53,Notebook Acer,1098.85,881,Npath,Notebooks,2/2/2024,716.44,FALSE
54,Microsoft Surface,1101.33,756,Mynte,Notebooks,1/10/2024,1148.9,TRUE
55,Notebook HP,1224.37,505,Dabjam,Notebooks,2/5/2024,1175.99,FALSE
56,Notebook Lenovo,1105.09,750,Topiczoom,Notebooks,1/22/2024,1004.86,FALSE
57,Notebook Dell,813.64,755,Dynazzy,Notebooks,3/12/2024,856.09,FALSE
58,Microsoft Surface,947.15,505,Kazio,Notebooks,2/11/2024,953.74,FALSE
59,MacBook Pro,1304.11,868,Buzzshare,Notebooks,2/4/2024,708.02,FALSE
60,Notebook Lenovo,1106.05,768,Kwinu,Notebooks,3/9/2024,1007.6,TRUE
61,Notebook Acer,971.43,756,Divape,Notebooks,3/22/2024,863.27,FALSE
62,Microsoft Surface,1365.83,347,Fivebridge,Notebooks,3/20/2024,783.24,FALSE
63,Microsoft Surface,1327.74,28,Oyope,Notebooks,3/11/2024,984.09,FALSE
64,Notebook HP,990.44,61,Flipstorm,Notebooks,1/23/2024,1123.24,TRUE
65,Microsoft Surface,1006.95,677,Quinu,Notebooks,2/9/2024,989.83,FALSE
66,Notebook Acer,1224.19,133,Blogtag,Notebooks,2/18/2024,1012.88,TRUE
67,Notebook HP,1214.52,365,Agimba,Notebooks,1/7/2024,774.43,FALSE
68,Notebook HP,1172.66,77,Tambee,Notebooks,3/14/2024,732.8,TRUE
69,Notebook Acer,1340.49,814,Skajo,Notebooks,3/23/2024,970.07,TRUE
70,Microsoft Surface,917.91,49,Twinte,Notebooks,2/25/2024,1103.94,TRUE
71,Notebook Lenovo,1104.17,285,Kimia,Notebooks,2/13/2024,848.77,TRUE
72,Microsoft Surface,1377.97,158,Photofeed,Notebooks,3/30/2024,926.28,TRUE
73,Notebook Dell,1329.21,668,Quaxo,Notebooks,2/1/2024,896.63,FALSE
74,Notebook HP,1334.5,956,Meetz,Notebooks,2/16/2024,972.21,FALSE
75,Notebook Lenovo,1300.27,512,Pixonyx,Notebooks,1/24/2024,800.88,TRUE
76,Notebook Acer,1445.08,820,Wordify,Notebooks,2/12/2024,705.33,FALSE
77,Notebook Dell,1309.37,202,Eimbee,Notebooks,3/21/2024,887.62,TRUE
78,Microsoft Surface,833.17,793,Youspan,Notebooks,1/3/2024,701.94,TRUE
79,Microsoft Surface,1499.29,282,Yakitri,Notebooks,1/19/2024,883.88,TRUE
80,Notebook HP,990.15,397,Agivu,Notebooks,1/1/2024,1042.56,FALSE
81,Notebook Lenovo,847.99,383,Buzzdog,Notebooks,3/11/2024,1188.96,TRUE
82,MacBook Pro,813.35,62,Realpoint,Notebooks,2/3/2024,749.21,TRUE
83,Notebook HP,936.74,234,Oyoyo,Notebooks,1/31/2024,825.92,TRUE
84,Notebook HP,1243.85,247,Chatterpoint,Notebooks,3/25/2024,728.57,FALSE
85,MacBook Pro,1424.8,270,Dynabox,Notebooks,3/26/2024,1051.6,TRUE
86,Notebook HP,1477.92,175,Midel,Notebooks,3/12/2024,750.26,FALSE
87,Notebook HP,1486.73,707,Wordtune,Notebooks,1/28/2024,1165.8,FALSE
88,Microsoft Surface,998.97,739,Meezzy,Notebooks,3/3/2024,836.77,TRUE
89,Notebook Dell,1396.92,281,Leexo,Notebooks,2/15/2024,807.8,TRUE
90,Notebook HP,1400.35,696,Realbridge,Notebooks,2/27/2024,701.25,TRUE
91,Notebook Lenovo,806.06,341,Buzzster,Notebooks,2/12/2024,838.39,TRUE
92,Microsoft Surface,1099.78,951,Tagtune,Notebooks,1/20/2024,939.65,FALSE
93,Notebook Lenovo,843.86,620,Katz,Notebooks,2/27/2024,756.61,TRUE
94,Notebook Acer,1282.4,405,Shufflebeat,Notebooks,1/20/2024,1046.14,TRUE
95,Microsoft Surface,1247.37,867,Tavu,Notebooks,1/28/2024,760.69,TRUE
96,Notebook HP,1347.86,18,Avamba,Notebooks,1/23/2024,911.52,TRUE
97,Notebook Acer,1062.36,633,Eadel,Notebooks,2/18/2024,776.25,TRUE
98,Microsoft Surface,839.05,942,Pixonyx,Notebooks,2/16/2024,832.9,TRUE
99,Microsoft Surface,996.74,603,Wikido,Notebooks,1/9/2024,1009.38,FALSE
100,Microsoft Surface,1296.11,408,Bluezoom,Notebooks,2/13/2024,917.09,FALSE
101,Notebook Acer,1279.78,828,Oba,Notebooks,3/23/2024,1003.17,TRUE
102,Notebook Lenovo,1074.63,208,Gabtune,Notebooks,2/17/2024,830.13,TRUE
103,Notebook HP,1364.81,71,Tambee,Notebooks,3/20/2024,1011.35,TRUE
104,Notebook Acer,1458.09,322,Blogspan,Notebooks,2/16/2024,793.28,FALSE
105,MacBook Pro,1196.64,875,Thoughtbeat,Notebooks,1/13/2024,1112.83,FALSE
106,Notebook Dell,1292.83,564,Babbleset,Notebooks,1/29/2024,832.46,TRUE
107,Notebook Lenovo,1065.59,218,Minyx,Notebooks,2/16/2024,963.82,FALSE
108,Notebook Lenovo,1213.34,487,Roodel,Notebooks,3/15/2024,742.32,FALSE
109,Notebook Dell,1330.11,42,Katz,Notebooks,1/30/2024,1136.38,FALSE
110,MacBook Pro,818.1,245,Jatri,Notebooks,1/16/2024,746.36,TRUE
111,Microsoft Surface,1444.9,200,Jaloo,Notebooks,3/21/2024,1124.64,FALSE
112,Notebook Acer,1117.35,218,Wikizz,Notebooks,2/21/2024,1113.2,FALSE
113,Notebook Acer,1109.0,991,Nlounge,Notebooks,3/4/2024,1144.22,TRUE
114,Notebook Acer,1281.74,858,Twimm,Notebooks,3/16/2024,1059.74,TRUE
115,Notebook Acer,1263.24,170,Eabox,Notebooks,3/27/2024,841.49,FALSE
116,Notebook Dell,1399.02,950,Tekfly,Notebooks,3/25/2024,820.76,TRUE
117,Notebook Lenovo,834.66,179,Quimm,Notebooks,2/29/2024,1096.62,TRUE
118,Notebook HP,1217.61,433,Voolith,Notebooks,1/29/2024,853.65,FALSE
119,Notebook Lenovo,826.11,595,Cogibox,Notebooks,1/11/2024,969.26,FALSE
120,Microsoft Surface,1419.9,834,Devpulse,Notebooks,3/20/2024,897.23,TRUE
121,Notebook Lenovo,1356.71,349,Linkbridge,Notebooks,1/8/2024,973.85,FALSE
122,Notebook Acer,1212.53,237,Realcube,Notebooks,3/3/2024,1070.86,TRUE
123,Notebook Acer,1011.59,98,Viva,Notebooks,2/7/2024,827.22,FALSE
124,Notebook HP,1411.89,64,Zooveo,Notebooks,1/1/2024,769.27,TRUE
125,Notebook HP,1222.59,672,Blogspan,Notebooks,3/30/2024,1001.57,FALSE
126,MacBook Pro,874.28,389,Voomm,Notebooks,2/15/2024,1087.92,TRUE
127,Notebook Acer,1020.84,12,Zava,Notebooks,3/20/2024,1065.02,FALSE
128,MacBook Pro,1200.55,74,Mynte,Notebooks,3/8/2024,1028.26,TRUE
129,MacBook Pro,921.23,20,Livepath,Notebooks,2/4/2024,1080.13,FALSE
130,Notebook Acer,1191.86,769,Meembee,Notebooks,3/11/2024,738.51,FALSE
131,Notebook Acer,1233.32,909,Skyba,Notebooks,3/16/2024,1006.66,TRUE
132,Notebook HP,1238.66,522,Yacero,Notebooks,2/3/2024,862.19,FALSE
133,MacBook Pro,1141.17,387,Mynte,Notebooks,1/12/2024,1178.73,FALSE
134,Notebook Lenovo,1071.85,223,Mybuzz,Notebooks,1/26/2024,1100.69,TRUE
135,Microsoft Surface,903.92,836,Plajo,Notebooks,2/7/2024,876.44,FALSE
136,Notebook HP,1131.54,457,Skiptube,Notebooks,3/11/2024,896.18,FALSE
137,MacBook Pro,833.47,930,Fiveclub,Notebooks,3/23/2024,1074.88,TRUE
138,Notebook Acer,1291.29,681,Digitube,Notebooks,2/13/2024,791.69,FALSE
139,Notebook Lenovo,976.94,777,Yamia,Notebooks,2/10/2024,910.86,TRUE
140,MacBook Pro,860.91,596,Wikibox,Notebooks,2/10/2024,810.62,FALSE
141,MacBook Pro,1300.39,802,Rhycero,Notebooks,1/10/2024,1043.35,FALSE
142,Microsoft Surface,822.63,664,Gigaclub,Notebooks,2/10/2024,824.15,TRUE
143,Notebook Dell,841.77,87,Brainlounge,Notebooks,2/1/2024,883.03,FALSE
144,MacBook Pro,1065.03,826,Babbleset,Notebooks,3/11/2024,826.56,FALSE
145,Notebook Dell,1484.4,89,Rhyzio,Notebooks,1/4/2024,1169.63,FALSE
146,Notebook Dell,806.34,790,Dabjam,Notebooks,3/23/2024,1036.61,TRUE
147,Notebook HP,1424.76,563,Twitterwire,Notebooks,3/30/2024,759.76,FALSE
148,Notebook HP,1268.41,599,Eadel,Notebooks,3/22/2024,873.62,TRUE
149,Notebook Acer,1164.62,593,Chatterbridge,Notebooks,1/8/2024,839.73,FALSE
150,MacBook Pro,1315.89,827,Brightbean,Notebooks,1/16/2024,783.32,TRUE
151,Notebook Dell,920.48,403,Digitube,Notebooks,2/18/2024,837.18,TRUE
152,MacBook Pro,1459.71,55,Bubblebox,Notebooks,1/26/2024,1004.7,FALSE
153,Microsoft Surface,1363.25,659,Wordify,Notebooks,1/18/2024,1140.33,TRUE
154,Microsoft Surface,1200.98,688,Youfeed,Notebooks,2/6/2024,806.29,TRUE
155,MacBook Pro,1471.64,372,Yata,Notebooks,2/4/2024,1190.7,FALSE
156,Notebook Lenovo,872.57,904,Yata,Notebooks,3/17/2024,1036.21,TRUE
157,MacBook Pro,1499.51,627,Voonix,Notebooks,2/22/2024,1123.75,TRUE
158,MacBook Pro,1121.16,376,Oyonder,Notebooks,1/9/2024,873.69,TRUE
159,Notebook Lenovo,1019.34,950,Eadel,Notebooks,1/31/2024,774.91,TRUE
160,Notebook Dell,1243.73,19,Blogspan,Notebooks,1/12/2024,1003.07,FALSE
161,Notebook HP,1265.48,987,Edgetag,Notebooks,2/6/2024,1138.32,TRUE
162,Notebook Dell,1019.12,797,Photolist,Notebooks,2/6/2024,1156.75,TRUE
163,Notebook Dell,1128.6,504,Livepath,Notebooks,3/5/2024,845.72,FALSE
164,Notebook Dell,857.78,385,Rhynyx,Notebooks,3/22/2024,936.64,FALSE
165,Microsoft Surface,900.29,444,Jaxbean,Notebooks,2/9/2024,1082.99,FALSE
166,Notebook Dell,1175.15,842,Fanoodle,Notebooks,1/16/2024,864.82,FALSE
167,Notebook Acer,1002.15,891,Zazio,Notebooks,2/11/2024,712.26,TRUE
168,Notebook Acer,1077.04,321,Miboo,Notebooks,2/11/2024,1155.07,TRUE
169,MacBook Pro,815.73,953,Browsedrive,Notebooks,1/22/2024,798.59,FALSE
170,Notebook Acer,1338.18,719,Flashset,Notebooks,1/15/2024,972.04,FALSE
171,Notebook Acer,1249.33,94,Feedmix,Notebooks,2/23/2024,1098.94,FALSE
172,Microsoft Surface,1265.85,967,Meezzy,Notebooks,1/8/2024,1190.57,TRUE
173,MacBook Pro,1036.31,135,Feedmix,Notebooks,1/27/2024,1024.3,TRUE
174,Microsoft Surface,1110.26,42,Jaloo,Notebooks,3/22/2024,1094.77,FALSE
175,Notebook HP,931.35,58,Twitterbeat,Notebooks,2/28/2024,1143.87,TRUE
176,Notebook HP,1006.78,963,Jazzy,Notebooks,3/24/2024,867.63,FALSE
177,Notebook Acer,1314.7,593,Photobug,Notebooks,1/1/2024,1161.02,TRUE
178,Notebook Dell,1276.65,187,Centidel,Notebooks,2/26/2024,882.27,FALSE
179,MacBook Pro,1232.85,871,Kwinu,Notebooks,2/23/2024,954.2,TRUE
180,Notebook Acer,1410.74,698,Trupe,Notebooks,1/12/2024,1145.31,FALSE
181,Notebook HP,1075.62,803,Browsezoom,Notebooks,2/24/2024,1139.76,FALSE
182,Notebook Lenovo,1339.62,36,Realbuzz,Notebooks,2/25/2024,928.2,FALSE
183,Notebook HP,1151.42,665,Thoughtbeat,Notebooks,1/22/2024,701.66,TRUE
184,Notebook Dell,1069.1,51,Skiba,Notebooks,1/14/2024,1106.42,FALSE
185,MacBook Pro,1429.4,522,Oyoba,Notebooks,1/21/2024,842.73,FALSE
186,Microsoft Surface,1328.37,89,Feednation,Notebooks,1/1/2024,794.76,FALSE
187,Notebook Dell,1199.96,606,Rhycero,Notebooks,3/13/2024,1174.14,TRUE
188,Microsoft Surface,801.83,54,Gabspot,Notebooks,3/14/2024,1151.34,TRUE
189,Notebook Dell,1072.93,418,Trilith,Notebooks,3/12/2024,890.72,FALSE
190,Notebook HP,1204.44,894,Zooxo,Notebooks,2/1/2024,924.61,TRUE
191,Notebook Acer,1201.27,987,Quinu,Notebooks,3/10/2024,912.66,FALSE
192,Notebook Lenovo,1494.57,825,Oyondu,Notebooks,1/31/2024,820.91,FALSE
193,Notebook Dell,1054.19,810,Dynazzy,Notebooks,2/23/2024,914.94,FALSE
194,Notebook Acer,880.16,733,Skyvu,Notebooks,3/27/2024,721.78,FALSE
195,Notebook Dell,1428.49,133,Rhycero,Notebooks,1/10/2024,700.2,FALSE
196,MacBook Pro,1186.66,239,Dabfeed,Notebooks,2/2/2024,745.5,TRUE
197,Notebook Lenovo,811.19,461,Blogpad,Notebooks,1/13/2024,1181.83,TRUE
198,Notebook Acer,1333.26,902,Topdrive,Notebooks,2/2/2024,840.8,TRUE
199,Notebook Acer,1257.97,519,Wikibox,Notebooks,3/19/2024,882.64,TRUE
200,Microsoft Surface,937.59,11,Wordify,Notebooks,3/10/2024,711.53,FALSE
201,Notebook HP,1223.79,306,Vinte,Notebooks,2/24/2024,1104.73,FALSE
202,Notebook Dell,838.72,867,Blogspan,Notebooks,3/5/2024,1049.27,TRUE
203,Notebook Dell,957.63,114,Janyx,Notebooks,1/30/2024,1110.56,TRUE
204,Microsoft Surface,939.67,113,Fatz,Notebooks,2/17/2024,998.89,TRUE
205,MacBook Pro,1354.25,229,Dablist,Notebooks,3/13/2024,886.18,TRUE
206,Notebook Acer,1158.54,889,Blognation,Notebooks,3/23/2024,951.61,TRUE
207,Microsoft Surface,935.43,399,Yodo,Notebooks,1/18/2024,779.26,FALSE
208,MacBook Pro,1374.27,608,Twitterbeat,Notebooks,3/29/2024,883.92,FALSE
209,Microsoft Surface,1253.48,781,Wikido,Notebooks,2/19/2024,1159.78,TRUE
210,Notebook Acer,1349.5,880,Zoonoodle,Notebooks,2/2/2024,841.12,FALSE
211,Microsoft Surface,1313.14,878,Trunyx,Notebooks,2/12/2024,1007.7,TRUE
212,Notebook HP,1351.76,529,Jabberbean,Notebooks,3/16/2024,1086.84,FALSE
213,Notebook Lenovo,1158.49,366,Fanoodle,Notebooks,1/21/2024,775.71,FALSE
214,Notebook Lenovo,1197.89,433,Reallinks,Notebooks,2/19/2024,1184.93,FALSE
215,Notebook Lenovo,1463.85,521,Topiczoom,Notebooks,1/9/2024,706.08,TRUE
216,Microsoft Surface,837.87,61,Livefish,Notebooks,1/25/2024,1127.93,TRUE
217,Microsoft Surface,1080.33,599,Twitterlist,Notebooks,3/18/2024,1075.21,FALSE
218,Notebook Acer,1411.78,771,Voomm,Notebooks,2/2/2024,855.35,FALSE
219,Notebook HP,1153.01,80,Thoughtbridge,Notebooks,1/11/2024,1160.84,FALSE
220,Microsoft Surface,1441.18,571,Quatz,Notebooks,1/19/2024,977.51,TRUE
221,Notebook Dell,1401.59,626,Realbridge,Notebooks,1/5/2024,789.93,FALSE
222,Notebook Dell,1067.37,961,JumpXS,Notebooks,3/29/2024,863.13,TRUE
223,Notebook Lenovo,1457.71,415,Kimia,Notebooks,1/19/2024,871.19,FALSE
224,Notebook Dell,1224.15,733,Divavu,Notebooks,3/29/2024,788.34,TRUE
225,Notebook HP,1370.83,316,Snaptags,Notebooks,3/3/2024,1053.08,TRUE
226,Notebook HP,842.9,219,Feedspan,Notebooks,1/31/2024,1052.28,FALSE
227,MacBook Pro,1057.98,314,Yodo,Notebooks,1/8/2024,789.59,TRUE
228,Notebook Lenovo,997.44,266,Youspan,Notebooks,3/25/2024,1127.13,FALSE
229,Notebook Acer,1007.41,881,Jatri,Notebooks,1/24/2024,785.18,FALSE
230,MacBook Pro,1202.54,459,Quimm,Notebooks,2/8/2024,1130.08,TRUE
231,Notebook HP,1270.57,699,Oyoloo,Notebooks,1/8/2024,817.01,FALSE
232,Notebook Dell,885.37,395,Blogpad,Notebooks,2/3/2024,761.59,TRUE
233,Notebook Lenovo,1086.9,391,Centimia,Notebooks,3/5/2024,874.03,TRUE
234,Microsoft Surface,816.7,348,Thoughtsphere,Notebooks,1/24/2024,915.16,TRUE
235,Microsoft Surface,1050.86,226,Yambee,Notebooks,2/22/2024,773.14,TRUE
236,Notebook HP,1320.89,72,Feedbug,Notebooks,1/17/2024,1076.93,FALSE
237,Notebook Lenovo,1388.69,226,Skipstorm,Notebooks,1/29/2024,1014.51,TRUE
238,Notebook Acer,1497.31,726,Thoughtstorm,Notebooks,1/13/2024,762.24,FALSE
239,Notebook Dell,956.11,314,Meemm,Notebooks,2/7/2024,1088.81,TRUE
240,Notebook Lenovo,1282.59,83,Dablist,Notebooks,1/19/2024,747.48,FALSE
241,MacBook Pro,1437.16,827,Kanoodle,Notebooks,2/4/2024,1194.62,FALSE
242,Microsoft Surface,1077.78,218,Voonder,Notebooks,3/2/2024,746.85,FALSE
243,Notebook Dell,1417.47,127,Tagfeed,Notebooks,3/9/2024,805.79,TRUE
244,Microsoft Surface,937.14,184,Twitterlist,Notebooks,2/26/2024,902.75,FALSE
245,Notebook Dell,1152.45,984,Ozu,Notebooks,1/13/2024,1051.13,TRUE
246,Notebook Acer,1348.27,218,Jaxnation,Notebooks,1/14/2024,816.02,FALSE
247,Microsoft Surface,1185.15,69,Skipfire,Notebooks,1/26/2024,955.96,FALSE
248,Microsoft Surface,1213.14,397,Oyoyo,Notebooks,1/29/2024,910.93,FALSE
249,MacBook Pro,1305.96,883,Skimia,Notebooks,1/1/2024,1174.34,TRUE
