Fecha,Concepto,Valor_de_Cuota,Cantidad_de_Cuotas,Monto
30/12/2021,Saldo Anterior,9.942921,5057865.010438,50289952.23
24/1/2022,Rescate,10.401265,(480710.759701),5000000.00
25/1/2022,Rescate,10.408004,(480399.507917),5000000.00
27/1/2022,Rescate,10.387650,(481340.822997),5000000.00
31/1/2022,Rescate,10.446154,(478645.059225),5000000.00
1/2/2022,Rescate,10.424135,(479656.105758),5000000.00
3/2/2022,Suscripción,10.488710,1792403.450949,18800000.00
7/2/2022,Rescate,10.546857,(474074.883162),5000000.00
9/2/2022,Rescate,10.531527,(759623.936776),8000000.00
16/2/2022,Rescate,10.601003,(565984.180931),6000000.00
17/2/2022,Rescate,10.589524,(283298.852715),3000000.00
23/2/2022,Rescate,10.627409,(470481.563286),5000000.00
24/2/2022,Suscripción,10.644615,2630438.019600,28000000.00
3/3/2022,Rescate,10.879561,(4483636.793801),48780000.00
14/3/2022,Suscripción,11.023129,1351703.314005,14900000.00
17/3/2022,Suscripción,11.130098,1338712.381508,14900000.00
21/3/2022,Suscripción,11.271586,1055752.047671,11900000.00
22/3/2022,Suscripción,11.313044,883935.393516,10000000.00
22/3/2022,Rescate,11.313044,(441967.696758),5000000.00
23/3/2022,Rescate,11.307841,(619039.478889),7000000.00